,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Fresh vegetables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,1.0319901292329507e-06,2.931140435108099e-07,1.4679714717477508e-07,1.324364887407235e-06,2.727105484071899e-08,5.2966561550468564e-08,9.513696317706541e-08,2.0192357689138028e-07,8.598419886031947e-08,1.9914204190812556e-07,1.940277011306316e-07,1.0887692208150123e-07,8.011369660608195e-07,1.106222317048037e-07,4.9502435614937666e-08,4.158861193815784e-08,2.726015148297641e-07,7.05370364576806e-08,1.527947130930865e-07,8.207354938418953e-08,2.0581355556106718e-07,2.026537918187748e-07,4.9833105628874103e-08,1.6089474072571517e-07,1.0716141593062948e-06,9.053529720306952e-08,6.938332829613817e-08,2.9297926743022825e-08,9.69445211222803e-07,9.976195376398292e-07,1.1182976565128873e-07,3.140925319760003e-08,8.004632231030203e-07,1.7626256567300424e-07,2.134581293209301e-07,3.193455085716276e-07,1.8755817311880363e-07,2.182677800943395e-07,4.639487954237711e-07,1.0943963484176131e-07,8.760383263622009e-08,2.0987402419797434e-07,2.0270340044074246e-07,1.7392306623985013e-07,1.7962929877621916e-07,2.0006699696448285e-07,1.3384583996998488e-07,2.0267301354450536e-07,8.81595726538842e-08,1.4639245650676646e-07,8.862986831230165e-08,1.9188069107176747e-07,1.3022910532764707e-07,2.5408845192931877e-07,6.848895424584087e-07,1.0861977587081848e-06,6.864069867036689e-08,9.862527549366572e-08,6.395375686602824e-08,1.9514048573825888e-07,4.988359947393244e-07,8.402654344048511e-08,3.193455085716276e-07,1.26852028467949e-07,4.652040692150231e-08,1.8959340020838929e-07,1.2719845473113177e-07,6.384645390792284e-08,5.0219463468999714e-08,4.570677875360968e-08,2.044491650535749e-07,4.051092499529378e-08,2.369264077856074e-07,1.9384433818677284e-07,7.99838319437906e-08,2.112149110852111e-07,8.487265864735614e-08,5.031470006713694e-07,1.5514205353777813e-07,1.1972227886667873e-07,1.9384073723385849e-07,5.6233303359205906e-08,2.4742529325691585e-07,8.128646363281118e-08,1.8220234435169354e-07,2.0791367756391145e-07,1.2423835844764135e-07,1.1843800375229681e-07,4.7607759141584116e-08,7.948613229533558e-07,8.39954270361814e-08,4.837459442422484e-07,1.9959601491184058e-07,6.918977889846193e-07,2.1758265834530955e-07,4.836816171376743e-07,4.645683688735393e-08,4.4151038809430327e-07,8.892489405178215e-08,2.0811495896218606e-07,2.0722793149166358e-07,1.065873919114823e-06,1.7833979612612344e-07,1.363979590487693e-07,8.983157746192567e-08,1.1435080855916052e-07,1.382891822126203e-07,1.8550324000996377e-08,7.298915725230322e-07,2.3282485993192848e-07,2.1437297863450313e-07,4.8977884278324326e-08,1.9295661511271788e-08,4.570487499084589e-08,2.042961915264283e-07,1.9645242741828833e-07,9.202911123396853e-07,2.1306086688329215e-07,1.4578595775320492e-07,1.9995725201316264e-07,1.1144724961779291e-07,5.42755660203413e-07,7.162576278574172e-08,8.359929885474228e-07,0.0,1.9608790368854024e-07,2.012664592701351e-07,6.036354940388778e-08,7.277380663320407e-08,5.445404740763835e-08,2.0637076699975885e-07,6.0251716328322e-08,9.105630079525979e-08,1.375367559636009e-07,1.754392161196821e-07,7.564403626740609e-07,3.5140507636262563e-07,8.278302389570118e-08,1.0173674808161417e-07,3.656405579542142e-08,2.0474059566039144e-07,7.58435115839937e-08,8.929938944452524e-08,1.7326744875529388e-07,2.2615409486855566e-07,2.3500663915319345e-07,1.267644901848509e-06,1.192937736410245e-07,1.9778151598553938e-07,1.2970669808405402e-07,1.895927102707572e-07,1.1633291390920043e-07,1.1412709197083342e-07,1.7231296669988336e-07,2.0194705317219413e-07,4.4076247059261903e-07,2.5332056644800815e-07,8.250894461458332e-08,7.428202739401428e-08,2.0448709793299833e-07,1.2540099388531066e-07,2.110848807443637e-07,1.6671110022073595e-07,2.0554107863361934e-07,3.278633764857555e-07,2.1093958969906275e-07,1.9758062458173112e-08,2.1766826254236704e-07,2.203974730840988e-07,1.7307707796456978e-07,1.0574141558956763e-07,2.02679230434275e-07,6.575084425568446e-08,1.652292769928981e-07,7.98320480323162e-09,2.5259737220680296e-07,1.3689086638154257e-07,8.931777459164908e-08,3.949794053054885e-08,2.5938977452507246e-08,1.967097508395137e-07,1.6711210410669479e-07,1.4898281544320549e-07,1.6259895090428225e-07,1.9069212778528898e-08,1.5684369411309764e-07,2.1225778474710776e-07,5.127627439181723e-07,4.2491826260049016e-07,5.9449099586483184e-08,1.7117772180290319e-07,1.1003865022475691e-07,9.304971920326693e-08,1.1959964113687135e-07,8.125779855519849e-08,3.5029634158277595e-07,9.662367966266774e-08,8.062236305340311e-08,7.466954699323825e-08,1.758525570074214e-07,8.872379620247569e-07,1.647286011415705e-07,1.1348096650872377e-07,1.1645419530962963e-06,1.4755663444805663e-07,2.4787487752825005e-07,2.3145608220253586e-07,6.369621047035362e-08,1.1376937583900832e-07,4.322889049743074e-08,2.1070731981601233e-07,3.1833149738513153e-07,6.527480839212687e-07,1.480496251195865e-07,1.919187399973218e-08,1.9090278800801955e-07,9.30152312082122e-08,3.308372693395341e-08,1.8564507547604819e-07,4.706777036088933e-08,3.373326513199702e-07,1.2335088118741548e-07,1.4152861342994345e-06,3.334287190418106e-08,6.609284286292746e-08,7.755082483340987e-07,6.641641379176843e-07,1.1858580799458135e-06,1.9864824932319765e-07,1.8873148903526534e-07,1.4313254128382961e-07,2.274018737226003e-07,1.7527110295770866e-07,1.876739323170561e-07,2.105744178725082e-07,1.9581717959170019e-07
Games and toys,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas production and distribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glass and glass products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Government goods and services n.i.e.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grain mill products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Health services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heritage and recreational services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Insulated wire and cable,6.024063851764378e-06,6.661958311394471e-06,4.920351243513687e-06,5.777418650894072e-06,4.095577034610453e-06,3.3129030742617874e-06,6.620660718722383e-06,6.523627740957505e-06,4.902472983465686e-06,6.798638596154719e-06,6.868711286613034e-06,8.39402858836357e-06,5.147417861716755e-06,6.762968276260665e-06,8.801016328816918e-06,4.6492573872375235e-06,6.707533463498996e-06,5.594039837333037e-06,5.264050362933648e-06,6.389788134916606e-06,5.6996198363524834e-06,6.8934173138644254e-06,7.378534361588381e-06,6.364874593151464e-06,4.991385723137943e-06,7.902280756197879e-06,3.012293480585561e-06,7.235939805527198e-06,5.331349808854408e-06,5.146055266280032e-06,6.306786727201303e-06,6.730365255729301e-06,5.344305434485978e-06,6.56105296523988e-06,6.819172304903278e-06,0.0,8.108845816261573e-06,6.984854667238487e-06,5.5441406366322834e-06,6.749449872406039e-06,7.64674085345816e-06,5.7741607375850515e-06,7.074141777877619e-06,5.970890102052199e-06,5.827428844615879e-06,6.704928470573265e-06,7.466909335057335e-06,5.052956045946537e-06,3.2810099591202073e-06,4.730016924632119e-06,3.483287742585345e-06,5.5707415491669414e-06,5.6408108220028985e-06,6.2591700075906575e-06,6.7672640435812345e-06,4.852436803787619e-06,4.7427225824668705e-06,9.985697459147887e-06,8.139356145407737e-06,6.329155892206722e-06,5.764666661693623e-06,6.073736213318699e-06,5.462355940795988e-06,1.0078795257319957e-05,2.626669564694794e-06,7.018381984480577e-06,6.774251984938521e-06,7.074141777877619e-06,3.130684781345565e-06,6.200820483978944e-06,6.77267067477389e-06,4.069043303413452e-06,6.817792680758698e-06,6.670700286810216e-06,3.002624781034959e-06,6.317748712852606e-06,5.771342971992772e-06,6.228316556069429e-06,7.282689642245554e-06,6.117526201171175e-06,6.744641539290189e-06,6.745827288102349e-06,5.888294906954822e-06,5.50861986897816e-06,6.688281338974304e-06,6.6239012261528575e-06,3.563567825049627e-06,5.401282906048085e-06,1.5616210399865486e-06,5.2840355937839175e-06,6.0763905156440385e-06,5.7364127328078e-06,6.6848985247731084e-06,5.939992329920835e-06,6.924983034610076e-06,5.781152893167702e-06,7.275477847140323e-06,5.376512390442055e-06,9.690200710733458e-06,6.831019180379047e-06,6.72906070762781e-06,4.6116009067214685e-06,6.640681427421556e-06,6.964905111123521e-06,6.283549097702044e-06,5.378830412996955e-06,6.150632729504169e-06,2.330383833754869e-06,5.342582061118861e-06,6.184483302254695e-06,6.939474092735502e-06,4.1780551611497674e-06,6.8895484363135816e-06,5.460650775133756e-06,7.018344583812756e-06,6.882459499898313e-06,5.077108850625432e-06,6.930880011198129e-06,4.883955492846582e-06,6.9181130770345935e-06,6.960224154376955e-06,6.566017215273578e-06,4.748691696564522e-06,5.415527533624029e-06,0.0,6.825582243534319e-06,6.302866217624317e-06,6.888198563126159e-06,6.910329431450247e-06,6.869888571917744e-06,6.8056131008645125e-06,5.784973227943167e-06,5.600876675991489e-06,4.925229691014221e-06,6.887982706438144e-06,5.7738455128340585e-06,5.80055991564841e-06,1.0935170258656252e-05,5.38421954543691e-06,6.203645917245032e-06,6.890273962136253e-06,8.447433387978971e-06,6.905217526701365e-06,6.898410031136848e-06,5.719708254111124e-06,6.553076301320033e-06,5.160329988270316e-06,6.705372182311774e-06,6.710629353060017e-06,6.7226978136779995e-06,6.477723574040238e-06,3.397145657438058e-06,6.3895554834537405e-06,6.887189411737501e-06,6.449957918666512e-06,5.599558259343455e-06,5.801538221050103e-06,6.6766493696802915e-06,5.965962453947085e-06,6.945505828315096e-06,6.830006815690312e-06,6.8936568654805034e-06,6.920261549651449e-06,6.863158555997592e-06,5.978779787997356e-06,6.939474092735503e-06,6.01192273597803e-06,6.357949633347044e-06,5.821920311526393e-06,6.676328723038625e-06,7.0111574598943675e-06,6.9197042748532265e-06,2.9382699952476703e-06,6.397451812886347e-06,6.117526201171173e-06,3.7753214634641246e-06,6.8628013938806585e-06,7.307697892152645e-06,6.898309292814483e-06,6.315025384613887e-06,6.6656669483694855e-06,6.7288833572507215e-06,4.105695113832126e-06,6.632675936506577e-06,0.0,6.7115286864801035e-06,4.59897678782105e-06,6.765105968237252e-06,5.89689749551849e-06,7.086632608202156e-06,6.913672658217594e-06,3.2264599834166256e-06,9.585899915972528e-06,7.031159110615298e-06,3.492925421604935e-06,6.012543954966179e-06,7.344293918573861e-05,8.063928189277627e-06,3.3782061845892902e-06,6.297194157148819e-06,5.788272467448825e-06,6.6322132155982145e-06,6.9685446732259156e-06,4.880471635067967e-06,6.433262413522316e-06,5.611974030135043e-06,6.825423161553589e-06,6.3597082290893175e-06,6.770844216143194e-06,6.563690330701857e-06,6.924144958105221e-06,6.904464489514443e-06,5.746239590899802e-06,5.165602999090223e-06,6.865202098072352e-06,6.8615344196083635e-06,6.804432108955201e-06,4.146551587667613e-06,6.861052298875139e-06,5.913522850437179e-06,5.7246965891163915e-06,6.462815623296182e-06,4.610312733565545e-06,3.5089823720648253e-06,7.508487468616844e-06,5.270291012904016e-06,6.1272220803968375e-06,4.667216629379868e-06,6.922957336450542e-06,6.433702547647627e-06,3.0431358328801575e-06,6.770844216143194e-06,6.506183133008954e-06,6.202663357696696e-06,6.551935942238087e-06,6.467378273373826e-06
